punt2(   0 ,   0 ) heeft buur punt2(   2 ,   0 ),  gevonden in     15 doorzochte knopen
punt2(   0 ,  10 ) heeft buur punt2(   0 ,   9 ),  gevonden in     26 doorzochte knopen
punt2(   0 ,  20 ) heeft buur punt2(   0 ,  20 ),  gevonden in     57 doorzochte knopen
punt2(   0 ,  30 ) heeft buur punt2(   0 ,  29 ),  gevonden in     61 doorzochte knopen
punt2(   0 ,  40 ) heeft buur punt2(   1 ,  40 ),  gevonden in     26 doorzochte knopen
punt2(   0 ,  50 ) heeft buur punt2(   0 ,  51 ),  gevonden in     16 doorzochte knopen
punt2(   0 ,  60 ) heeft buur punt2(   0 ,  61 ),  gevonden in     14 doorzochte knopen
punt2(   0 ,  70 ) heeft buur punt2(   0 ,  71 ),  gevonden in     33 doorzochte knopen
punt2(   0 ,  80 ) heeft buur punt2(   0 ,  80 ),  gevonden in     21 doorzochte knopen
punt2(   0 ,  90 ) heeft buur punt2(   0 ,  90 ),  gevonden in     53 doorzochte knopen
punt2(   0 , 100 ) heeft buur punt2(   0 , 100 ),  gevonden in     38 doorzochte knopen
punt2(   0 , 110 ) heeft buur punt2(   0 , 111 ),  gevonden in     48 doorzochte knopen
punt2(   0 , 120 ) heeft buur punt2(   0 , 120 ),  gevonden in     53 doorzochte knopen
punt2(   0 , 130 ) heeft buur punt2(   0 , 130 ),  gevonden in     72 doorzochte knopen
punt2(   0 , 140 ) heeft buur punt2(   0 , 140 ),  gevonden in     55 doorzochte knopen
punt2(   0 , 150 ) heeft buur punt2(   0 , 150 ),  gevonden in     54 doorzochte knopen
punt2(   0 , 160 ) heeft buur punt2(   0 , 160 ),  gevonden in    101 doorzochte knopen
punt2(   0 , 170 ) heeft buur punt2(   1 , 172 ),  gevonden in     58 doorzochte knopen
punt2(   0 , 180 ) heeft buur punt2(   0 , 180 ),  gevonden in     79 doorzochte knopen
punt2(   0 , 190 ) heeft buur punt2(   0 , 190 ),  gevonden in     66 doorzochte knopen
punt2(  10 ,   0 ) heeft buur punt2(  10 ,   0 ),  gevonden in     23 doorzochte knopen
punt2(  10 ,  10 ) heeft buur punt2(  10 ,   9 ),  gevonden in     72 doorzochte knopen
punt2(  10 ,  20 ) heeft buur punt2(  10 ,  20 ),  gevonden in    125 doorzochte knopen
punt2(  10 ,  30 ) heeft buur punt2(  10 ,  29 ),  gevonden in    167 doorzochte knopen
punt2(  10 ,  40 ) heeft buur punt2(  10 ,  40 ),  gevonden in     83 doorzochte knopen
punt2(  10 ,  50 ) heeft buur punt2(  10 ,  50 ),  gevonden in    103 doorzochte knopen
punt2(  10 ,  60 ) heeft buur punt2(  10 ,  60 ),  gevonden in     62 doorzochte knopen
punt2(  10 ,  70 ) heeft buur punt2(   9 ,  71 ),  gevonden in    104 doorzochte knopen
punt2(  10 ,  80 ) heeft buur punt2(  10 ,  80 ),  gevonden in    134 doorzochte knopen
punt2(  10 ,  90 ) heeft buur punt2(  10 ,  90 ),  gevonden in    187 doorzochte knopen
punt2(  10 , 100 ) heeft buur punt2(   9 , 100 ),  gevonden in    208 doorzochte knopen
punt2(  10 , 110 ) heeft buur punt2(  10 , 111 ),  gevonden in    277 doorzochte knopen
punt2(  10 , 120 ) heeft buur punt2(   9 , 120 ),  gevonden in    264 doorzochte knopen
punt2(  10 , 130 ) heeft buur punt2(   9 , 130 ),  gevonden in    275 doorzochte knopen
punt2(  10 , 140 ) heeft buur punt2(  10 , 141 ),  gevonden in    263 doorzochte knopen
punt2(  10 , 150 ) heeft buur punt2(  10 , 150 ),  gevonden in    202 doorzochte knopen
punt2(  10 , 160 ) heeft buur punt2(   9 , 160 ),  gevonden in    269 doorzochte knopen
punt2(  10 , 170 ) heeft buur punt2(  10 , 170 ),  gevonden in    185 doorzochte knopen
punt2(  10 , 180 ) heeft buur punt2(   9 , 180 ),  gevonden in    334 doorzochte knopen
punt2(  10 , 190 ) heeft buur punt2(   9 , 189 ),  gevonden in    244 doorzochte knopen
punt2(  20 ,   0 ) heeft buur punt2(  20 ,   0 ),  gevonden in     35 doorzochte knopen
punt2(  20 ,  10 ) heeft buur punt2(  20 ,   9 ),  gevonden in     79 doorzochte knopen
punt2(  20 ,  20 ) heeft buur punt2(  20 ,  21 ),  gevonden in    110 doorzochte knopen
punt2(  20 ,  30 ) heeft buur punt2(  19 ,  30 ),  gevonden in    255 doorzochte knopen
punt2(  20 ,  40 ) heeft buur punt2(  20 ,  41 ),  gevonden in     87 doorzochte knopen
punt2(  20 ,  50 ) heeft buur punt2(  19 ,  50 ),  gevonden in     65 doorzochte knopen
punt2(  20 ,  60 ) heeft buur punt2(  20 ,  60 ),  gevonden in    104 doorzochte knopen
punt2(  20 ,  70 ) heeft buur punt2(  20 ,  71 ),  gevonden in    219 doorzochte knopen
punt2(  20 ,  80 ) heeft buur punt2(  20 ,  80 ),  gevonden in    295 doorzochte knopen
punt2(  20 ,  90 ) heeft buur punt2(  20 ,  90 ),  gevonden in    278 doorzochte knopen
punt2(  20 , 100 ) heeft buur punt2(  20 , 100 ),  gevonden in    332 doorzochte knopen
punt2(  20 , 110 ) heeft buur punt2(  19 , 110 ),  gevonden in    352 doorzochte knopen
punt2(  20 , 120 ) heeft buur punt2(  19 , 120 ),  gevonden in    471 doorzochte knopen
punt2(  20 , 130 ) heeft buur punt2(  20 , 130 ),  gevonden in    486 doorzochte knopen
punt2(  20 , 140 ) heeft buur punt2(  20 , 140 ),  gevonden in    444 doorzochte knopen
punt2(  20 , 150 ) heeft buur punt2(  19 , 150 ),  gevonden in    370 doorzochte knopen
